designation,l,b,parallax,phot_g_mean_mag,SIMBAD_ID,Spectral_Type,distance,adjusted_mag,X,Y,Z,interim_ID,Absolute_Mag,star_name
Gaia DR3 2893319154338907264,239.1214133153888,-19.744690713753748,40.00231375762648,13.53388786315918,LP  894-32,,24.998553985126648,8.952723415127235,-12.075474529976852,-20.193770931311573,-8.44524906659877,LP 894-32,,
Gaia DR3 4175226257790341504,20.075364491620658,11.614170214420785,40.00484815765576,15.553223609924316,LP  688-26,,24.996970268680528,10.972375933537489,22.997497870671236,8.40467841312397,5.032394566579437,LP 688-26,,
Gaia DR3 2215951134720289792,102.72426781202155,6.46942168597726,40.00711500460137,12.18690013885498,Ross  212,dM3.5,24.995553912972387,7.606335775969863,-5.47044675162569,24.226437121942578,2.816322447891892,Ross 212,,
Gaia DR3 2557991713005259392,119.9792104546738,-53.70491178104811,40.01088804831931,12.596782684326172,G   1-18,dM4.0,24.993196821633802,8.016689845795174,-7.392638093632591,12.81516108515133,-20.14399254723654,G 1-18,,
Gaia DR3 1250871227385237888,21.75614001207021,74.45523894710092,40.01474529540164,14.758096694946289,UCAC4 566-050268,,24.990787586367986,10.178485857859595,6.220258486117531,2.4824042180705286,24.076659192067172,UCAC4 566-050268,,
Gaia DR3 4672963867324468608,278.5526739353264,-44.009531162617264,40.01969593409977,14.402347564697266,SCR J0342-6407,M4.0V,24.987696099607927,9.823355291147518,2.6727341919829732,-17.771902729126793,-17.360902099021867,SCR J0342-6407,,
Gaia DR3 4111251723554095104,1.7077481728339647,6.185914751485073,40.027157633663336,4.10488224029541,* b Oph,kA5hA9mF1III,24.983037995158256,-0.47317786674777107,24.826541975567736,0.7401948564051467,2.692046169263419,b Oph,,
Gaia DR3 4057683066003668608,1.0059118122082151,0.049309246589301955,40.027673290529854,19.680286407470703,,,24.982716150943254,15.10229071338806,24.97885679142159,0.43858569016548893,0.021500340331550745,,,
Gaia DR3 6665143937443906816,354.81417558471895,-23.639584520335585,40.028408504643515,11.831506729125977,UCAC3 94-383364,,24.982257285697344,7.253602872427477,22.792217356893968,-2.06856865817368,-10.017436336273922,UCAC3 94-383364,,
Gaia DR3 5564575060519302784,250.62988151845954,-15.102676665247621,40.029129371356746,13.715394020080566,WT 207,M4V,24.981807391383345,9.13758020695977,-7.999511144386549,-22.75371262226689,-6.509000222330876,WT 207,,
Gaia DR3 3348740650136554368,192.79636861926053,-4.574547585900305,40.03084898902294,13.12354850769043,2MASS J05564783+1536246,M4,24.98073424009106,8.545949485742662,-24.28269558629231,-5.515274637155125,-1.9923664106462082,2MASS J05564783+1536246,,
Gaia DR3 3369132536382082432,195.45187196173484,0.8434882665664036,40.03848080493311,14.579360961914062,LSPM J0621+1554,M4.0,24.975972611747817,10.00271509093595,-24.070597270749225,-6.653598321790834,0.3676741824486707,LSPM J0621+1554,,
Gaia DR3 432824886875420672,146.0886771371199,-12.684262434314654,40.041947151349326,15.782514572143555,2MASS J03010320+4416567,M6,24.973810494785145,11.206301559294058,-20.22000066954155,13.593077580950174,-5.483705447181633,2MASS J03010320+4416567,,
Gaia DR3 1658578797618935680,108.66461082123836,58.58053437152435,40.048293005701275,13.48685073852539,PG 1344+573,DA3.6,24.969853268343794,8.911430063712686,-4.165730617429309,12.332197638270957,21.30861708502585,PG 1344+573,,
Gaia DR3 5541659279700994944,253.87033646828507,-0.609219420197643,40.05160985921248,13.823808670043945,SCR J0815-3600,,24.9677854027629,9.248802084811185,-6.935959213676476,-23.98358398886265,-0.2654745822247479,SCR J0815-3600,,
Gaia DR3 6470468772315704448,344.4887902392623,-39.55681037577062,40.055670879677,11.201077461242676,Smethells 65,M3V,24.965254058629906,6.626577823746819,18.546999427015592,-5.147446117945496,-15.898947164169964,Smethells 65,,
Gaia DR3 5564101853903376128,249.75119221408085,-15.645147564772035,40.056133064575,11.983078002929688,L  454-11,,24.964965998786933,7.40863605791799,-8.320192754124955,-22.554314564299887,-6.732519171113013,L 454-11,,
Gaia DR3 2045232777472519808,66.14053204747225,5.20647130782726,40.063183975284176,10.384194374084473,** RAO  611A,,24.960572295425173,5.810632480349781,10.054763596405188,22.733267538794916,2.265048640785699,RAO 611A,,
Gaia DR3 6126746594071444480,298.0158486312175,12.51662620343221,40.06366163501391,13.110710144042969,UCAC4 200-069874,,24.960274702550983,8.53720786325399,11.445586818767087,-21.5116610730014,5.409463326540632,UCAC4 200-069874,,
Gaia DR3 1105408965770145920,146.17717973773708,21.08284704710279,40.06528152289997,9.250465393066406,MCC 234,K6V,24.95926552839604,4.677165272423616,-19.347240206533964,12.963010565409023,8.978284312091498,MCC 234,,
