designation,l,b,parallax,phot_g_mean_mag,distance,Absolute_Mag,SIMBAD_ID,Spectral_Type,X,Y,Z,star_name
,0,0,,,0,4.83, ,G2V,0,0,0,Sol
,315.7341713,-0.67965625,742.12,,1.347490972,4.38,* alf Cen A,G2V,0.964882715,-0.940466789,-0.015983886,Alpha Centauri A
,315.7300838,-0.68171325,742.12,,1.347490972,5.71,* alf Cen B,K1V,0.964815207,-0.940535221,-0.016032259,Alpha Centauri B
,227.2302913,-8.89028121,379.21,,2.637061259,1.43,* alf CMa,A0mA1Va,-1.769191784,-1.912580616,-0.407538835,Sirius A (Alpha Canis Majoris A)
,213.7022414,13.01939682,284.56,,3.514197357,2.68,* alf CMi,F5IV-V+DQZ,-2.848420861,-1.899821565,0.791681554,Procyon A (Alpha Canis Minoris A)
,213.7025875,13.0181154,284.56,,3.514197357,11.3,* alf CMi B,DQZ,-2.848424114,-1.899848596,0.79160498,Procyon B (Alpha Canis Minoris B)
,47.74412569,-8.90918816,194.95,,5.12952039,2.22,* alf Aql,A7Vn,3.407692759,3.750804414,-0.794402755,Altair (Alpha Aquilae)
,67.44820813,19.23725227,130.23,,7.678722261,0.582,* alf Lyr,A0V,2.780493279,6.695579415,2.529989917,Vega (Alpha Lyrae)
,20.48814538,-64.90960178,129.81,,7.703566751,1.74,* alf PsA,A4V,3.060044424,1.14338215,-6.976657228,Fomalhaut (Alpha Piscis Austrini)
,192.2292878,23.4062689,96.54,,10.35840066,1.09,* bet Gem,K0IIIb,-9.290306923,-2.013606909,4.11485708,Pollux (Beta Geminorum)
,250.6402998,70.7997549,90.91,,10.99989,2.113,* bet Leo,A3Va,-1.199206359,-3.412991316,10.38802072,Denebola (Beta Leonis)
,15.05005923,69.11129459,88.83,,11.25745807,-0.3,* alf Boo,K1.5IIIFe-0.5,3.876210723,1.042258173,10.51755915,Arcturus A (Alpha Bootis A)
,15.04987403,69.11128528,88.83,,11.25745807,,* alf Boo B, ,3.876215743,1.042246087,10.5175585,Arcturus B (Alpha Bootis B)
